lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
36.75,Jul,13.067,12.575,14.218,13.595,15.478,13.341,13.174,14.625,13.008,13.49,13.684,13.359,12.903,13.722,12.918,13.402,14.082,14.65,13.961,14.724,14.123,13.5,13.862
36.75,Aug,14.981,14.381,15.561,15.089,14.289,15.044,13.209,14.22,13.359,16.086,15.207,14.268,12.73,12.893,13.424,16.801,14.847,15.167,15.414,14.584,14.045,14.472,14.481
36.75,Sep,14.243,14.931,16.027,15.49,15.235,14.509,14.733,14.197,13.597,17.12,15.744,13.783,14.616,13.604,13.795,16.199,14.942,15.078,14.861,14.932,15.309,13.667,13.779
36.75,Oct,13.647,15.491,14.844,14.283,15.514,14.372,14.625,14.653,14.582,16.104,14.313,14.361,13.813,13.693,13.597,13.085,14.963,13.017,15.442,14.566,14.593,13.632,13.77
36.75,Nov,12.979,13.923,12.72,12.46,14.502,14.158,12.485,13.507,12.355,15.687,13.203,12.835,12.083,13.477,12.989,14.452,14.79,13.493,14.645,14.454,13.736,12.648,13.281
36.75,Dec,11.748,13.975,12.474,12.208,13.868,13.531,12.365,13.145,12.126,14.626,11.851,11.36,12.437,11.998,13.682,13.339,12.977,13.111,12.898,11.743,12.598,12.682,12.295
35.74,Jan,12.643,11.768,13.5,12.737,13.566,13.725,13.775,13.169,13.824,13.154,14.727,11.783,12.209,12.322,12.018,13.968,13.128,13.802,13.213,12.575,12.018,12.49,13.637
35.74,Feb,12.614,11.524,12.362,12.813,14.103,13.762,13.579,13.517,13.813,12.462,14.493,11.431,12.741,11.677,11.719,13.752,12.693,14.054,12.851,12.8,11.741,12.74,13.615
35.74,Mar,12.618,12.083,11.816,12.491,14.565,14.133,13.804,13.75,13.407,11.692,14.086,11.69,12.378,12.196,12.204,12.922,13.214,14.083,12.455,12.463,11.328,12.328,12.957
35.74,Apr,13.051,12.998,13.016,11.214,14.589,13.533,13.266,12.066,12.549,11.329,13.84,11.694,12.216,11.395,11.653,12.313,12.384,13.126,13.252,12.102,11.288,12.101,12.834
35.74,May,12.751,13.523,12.924,11.612,14.377,13.754,12.985,12.532,12.827,12.01,14.113,11.188,12.082,12.843,11.567,12.769,12.304,14.472,13.567,11.533,11.369,11.95,12.184
35.74,Jun,14.237,13.336,13.206,12.12,16.311,14.122,11.723,12.961,11.765,13.144,14.377,11.999,13.412,12.506,12.014,13.125,11.731,12.829,13.4,12.362,12.168,14.996,12.036
35.74,Jul,13.603,12.493,14.587,14.011,15.795,16.553,13.089,14.486,13.952,13.835,14.118,13.4,13.515,13.934,13.802,14.655,14.563,14.435,13.404,14.085,14.063,14.151,14.59
